food,serving_size,functional_unit,land_use,ghg,eutrophication,water_use,ghg_10perc,ghg_90perc
AlmondMilk,200,1 liter,0.5,0.7,1.5,371,0.5,0.9
Apples,80,1kg,0.6,0.4,1.5,180,0.3,0.6
Avocado,80,1kg,2.6,2.5,5.2,564,0.9,4.9
Bananas,80,1kg,1.9,0.9,3.3,115,0.6,1.2
BeansPulses,150,1kg,16,1.8,17,436,1,3.8
Beef,80,1kg,202,71,329,"2,004",31,140
Beer,568.261,1 liter,1.1,1.2,2.3,17,0.7,1.6
BerriesGrapes,80,1kg,2.4,1.5,6.1,420,0.8,2.7
BovineMeatBeefHerd,80,1kg,326,99,301,"1,451",40,210
BovineMeatDairyHerd,80,1kg,43,33,365,"2,714",18,51
Bread,38,1kg,3.9,1.6,7.2,648,0.8,2.3
Cabbages,80,1kg,0.6,0.5,5,119,0.2,1
Cassava,173,1kg,1.8,1.3,0.7,0,0.4,2.1
Cheese,30,1kg,88,24,98,"5,605",11,39
Chocolate,40,1kg,69,47,87,541,0.1,135
Citrus,80,1kg,0.9,0.4,2.2,83,0.1,0.6
Coffee,7,1kg,22,29,111,26,5.2,85
CrustaceansFarmed,140,1kg,3,27,227,"3,515",8,52
DarkChocolate,40,1kg,49,34,66,564,0.4,96
Eggs,120,1kg,6.3,4.7,22,578,2.9,8.4
FishFarmed,140,1kg,8.4,14,235,"3,691",5.7,27
Groundnuts,30,1kg,9.1,3.2,14,"1,852",1.6,5.8
Lentils,150,1kg,24,2.8,25,"1,246",1.1,3.9
Maize,15,1kg,2.9,1.7,4,216,0.7,2.3
Milk,200,1 liter,9,3.2,11,628,1.7,4.8
MilkChocolate,40,1kg,42,23,58,"1,651",3.3,58
Mutton,80,1kg,370,40,97,"1,803",25,54
Nuts,30,1kg,13,0.4,19,"4,134",3.7,3.8
Oatmeal,15,1kg,7.6,2.5,11,482,0.9,4.1
OatMilk,200,1 liter,0.8,0.9,1.6,48,0.8,1
OlivesOil,5,1 liter,26,5.4,37,"2,142",2.9,7.6
OnionsLeeks,80,1kg,0.4,0.5,3.2,14,0.3,0.8
OtherFruit,80,1kg,0.9,1.1,2.4,154,0.4,2.9
OtherVegetables,80,1kg,0.4,0.5,2.3,103,0.2,1
PalmOil,5,1 liter,2.4,7.3,11,6.4,3.6,12
Pasta,19,1kg,4.7,1.6,9.5,769,0.8,2.4
Peas,80,1kg,7.5,1,7.5,397,0.6,1.7
Pork,80,1kg,17,12,76,"1,796",7.4,22
Potatoes,173,1kg,0.9,0.5,3.5,59,0.2,0.6
Poultry,80,1kg,12,10,49,660,4.2,20
RapeseedOil,5,1 liter,11,3.8,19,238,2.5,4.6
Rice,15,1kg,2.8,4.5,35,"2,248",1.5,8.8
RiceMilk,200,1 liter,0.3,1.2,4.7,270,0.8,1.7
RootVegetables,80,1kg,0.3,0.4,1.6,28,0.2,0.6
SoybeansOil,5,1 liter,11,6.3,12,415,2.4,13
Soymilk,200,1 liter,0.7,1,1.1,28,0.6,1.5
Sugar,7,1kg,2,3.2,17,620,0.9,5.1
SugarBeet,7,1kg,1.8,1.8,5.4,218,1.2,2.4
SunflowerOil,5,1 liter,18,3.6,51,"1,008",2.5,4.6
Tea,3,1kg,28,21,81,20,6.8,110
Tofu,100,1kg,3.5,3.2,6.2,149,1.6,5.6
Tomatoes,80,1kg,0.8,2.1,7.5,370,0.4,6
Wine,175,1 liter,1.8,1.8,4.6,79,0.9,2.7
