food,name,img,serving_size,functional_unit,land_use,ghg,eutrophication,water_use,ghg_10perc,ghg_90perc
AlmondMilk,Almond Milk,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_11.svg?cachebust=1.1.7,200,1 liter,0.5,0.7,1.5,371,0.5,0.9
Apple,Apples,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_20.svg?cachebust=1.1.7,80,1kg,0.6,0.4,1.5,180,0.3,0.6
Avocado,Avocado,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_14.svg?cachebust=1.1.7,80,1kg,2.6,2.5,5.2,564,0.9,4.9
Banana,Bananas,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_24.svg?cachebust=1.1.7,80,1kg,1.9,0.9,3.3,115,0.6,1.2
Bean,Beans,https://nuts.com/images/rackcdn/ed910ae2d60f0d25bcb8-80550f96b5feb12604f4f720bfefb46d.ssl.cf1.rackcdn.com/349a843ef774275a-ha_0K-dn-large.jpg,150,1kg,16,1.8,17,436,1,3.8
Beef,Beef,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_5.svg?cachebust=1.1.7,80,1kg,202,71,329,"2,004",31,140
Beer,Beer,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_22.svg?cachebust=1.1.7,568.261,1 liter,1.1,1.2,2.3,17,0.7,1.6
Bread,Bread,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_17.svg?cachebust=1.1.7,38,1kg,3.9,1.6,7.2,648,0.8,2.3
Cheese,Cheese,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_4.svg?cachebust=1.1.7,30,1kg,88,24,98,"5,605",11,39
Chocolate,Chocolate,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_32.svg?cachebust=1.1.7,40,1kg,69,47,87,541,0.1,135
Citrus,Citrus Fruits,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_27.svg?cachebust=1.1.7,80,1kg,0.9,0.4,2.2,83,0.1,0.6
Coffee,Coffee,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_30.svg?cachebust=1.1.7,7,1kg,22,29,111,26,5.2,85
Egg,Eggs,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_12.svg?cachebust=1.1.7,120,1kg,6.3,4.7,22,578,2.9,8.4
Fish,Fish,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_1.svg?cachebust=1.1.7,140,1kg,8.4,14,235,"3,691",5.7,27
Milk,Milk,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_9.svg?cachebust=1.1.7,200,1 liter,9,3.2,11,628,1.7,4.8
OatMilk,Oat Milk,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_23.svg?cachebust=1.1.7,200,1 liter,0.8,0.9,1.6,48,0.8,1
Pasta,Pasta,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_34.svg?cachebust=1.1.7,19,1kg,4.7,1.6,9.5,769,0.8,2.4
Peas,Peas,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_26.svg?cachebust=1.1.7,80,1kg,7.5,1,7.5,397,0.6,1.7
Pork,Pork,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_3.svg?cachebust=1.1.7,80,1kg,17,12,76,"1,796",7.4,22
Potato,Potatoes,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_28.svg?cachebust=1.1.7,173,1kg,0.9,0.5,3.5,59,0.2,0.6
Chicken,Chicken,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_10.svg?cachebust=1.1.7,80,1kg,12,10,49,660,4.2,20
Rice,Rice,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_7.svg?cachebust=1.1.7,15,1kg,2.8,4.5,35,"2,248",1.5,8.8
Soymilk,Soymilk,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_29.svg?cachebust=1.1.7,200,1 liter,0.7,1,1.1,28,0.6,1.5
Tea,Tea,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_31.svg?cachebust=1.1.7,3,1kg,28,21,81,20,6.8,110
Tofu,Tofu,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_25.svg?cachebust=1.1.7,100,1kg,3.5,3.2,6.2,149,1.6,5.6
Tomato,Tomatoes,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_16.svg?cachebust=1.1.7,80,1kg,0.8,2.1,7.5,370,0.4,6
Wine,Wine,https://news.files.bbci.co.uk/include/newsspec/21841-green-diet/assets/app-project-assets/foods/food_21.svg?cachebust=1.1.7,175,1 liter,1.8,1.8,4.6,79,0.9,2.7
