,Product,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl
2,Wheat & Rye (Bread),0.98,1.11,3.85,2.7,7.87,9.96
3,Maize (Meal),0.99,1.14,2.94,1.84,5.7,9.01
4,Barley (Beer),0.21,0.26,1.11,0.88,2.37,2.87
5,Oatmeal,2.64,2.85,7.6,7.72,12.88,13.98
6,Rice,0.99,1.1,2.8,2.15,6.21,7.21
7,Potatoes,0.37,0.44,0.88,0.82,1.4,1.66
8,Cassava,0.73,0.76,1.81,1.32,3.19,3.28
9,Cane Sugar,1.14,1.17,2.04,1.78,3.11,3.53
10,Beet Sugar,1.11,1.19,1.83,1.52,3.09,3.29
11,Other Pulses,4.08,9.93,15.57,12.24,41.25,41.87
12,Peas,2.28,2.77,7.46,6.73,14.19,20.47
13,Nuts,4.15,4.49,12.96,8.73,26.59,26.59
14,Groundnuts,4.22,4.67,9.11,7.87,15.38,15.38
15,Soymilk,0.3,0.34,0.66,0.64,0.92,1.07
16,Tofu,1.57,1.77,3.52,3.41,4.94,5.87
17,Soybean Oil,4.77,5.25,10.52,9.61,14.64,17.47
18,Palm Oil,1.37,1.67,2.42,2.39,2.99,3.29
19,Sunflower Oil,7.5,8.37,17.66,16.3,27.04,29.69
20,Rapeseed Oil,5.01,5.22,10.63,9.42,19.04,20.97
21,Olive Oil,7.85,7.85,26.31,17.29,36.32,36.32
22,Tomatoes,0.07,0.09,0.8,0.17,0.93,5.62
23,Onions & Leeks,0.1,0.1,0.39,0.3,0.62,0.62
24,Root Vegetables,0.16,0.17,0.33,0.27,0.32,0.45
25,Brassicas,0.19,0.19,0.55,0.34,0.8,2.3
26,Other Vegetables,0.17,0.17,0.38,0.19,0.77,1.07
27,Citrus Fruit,0.29,0.35,0.86,0.68,1.75,1.75
28,Bananas,0.22,0.28,1.93,1.39,2.99,9.44
29,Apples,0.3,0.31,0.63,0.51,0.99,1.02
30,Berries & Grapes,0.23,0.25,2.41,2.58,6.85,6.86
31,Wine,0.86,0.86,1.78,1.64,2.76,3.48
32,Other Fruit,0.21,0.21,0.89,0.92,1.42,1.85
33,Coffee,8.3,8.44,21.62,11.9,40.28,40.66
34,Dark Chocolate,21.57,34.7,68.96,53.83,123.26,144.66
35,Bovine Meat (beef herd),70.41,82.84,326.21,170.37,735.09,910.1
36,Bovine Meat (dairy herd),12.27,14.39,43.24,25.94,64.12,106.37
37,Lamb & Mutton,47.85,60.06,369.81,127.41,442.34,724.65
38,Pig Meat,7.39,7.76,17.36,13.44,31.11,34.09
39,Poultry Meat,6.46,6.65,12.22,11.01,16.02,20.4
40,Milk,0.8,1.11,8.95,2.1,9.3,32.19
41,Cheese,7.86,9.55,87.79,20.18,239.21,323.45
42,Eggs,4.25,4.38,6.27,5.71,8.79,8.81
43,Fish (farmed),0.3,0.82,8.41,5.6,10.5,26.26
44,Crustaceans (farmed),0.6,0.61,2.97,0.82,5.19,5.2
